[0, 0, 0]
(-1.7577534991250803, 3.408053554647714, 1.1381887387277287)
(-0.29213843443051846, 1.6410932826244446, 4.413829726264643)
(-2.002007061476521, -1.2691445318737122, 6.5601906328478785)
(-2.0697240032585436, -1.784530943467694, 10.526270720609594)
(-5.447271858469538, 0.22187635362522906, 11.278932825363036)
(2.226342728899134, -2.478207275697199, 2.2140204949727598)
(-4.710345356840445, 0.1369244303461807, 15.209546327340545)
(0.30243761101092526, -5.726924262024874, 3.534788090013457)
(-4.264834215465018, 1.2991273530695837, 3.4331781849025176)
