X,Y,Z,R
0.0,0.0,0.0,15.0
34.99431929385279,13.962687605476537,2.258346656942126,15.0
31.26325025042396,-0.402876849505869,28.34544278440843,15.0
29.201802548947583,-5.216454848684217,27.560893269852823,15.0
-6.818874928110992,5.155416722504036,26.661850338662788,15.0
-2.6401189004359926,-4.118049045772491,32.98361360425284,15.0
3.5743208973248053,10.067898428521623,6.934979438448398,15.0
4.916960179787444,-4.454867073901916,48.134838147007265,15.0
1.855813077682875,-1.705248364597049,33.878864786332514,15.0
-3.523253746920963,22.307852629980008,17.092696095462014,15.0
-0.08576348409618184,12.634518427972539,-3.1022641072347845,15.0
6.489882274755308,32.10038583703146,-14.708058918863212,15.0
17.46736047407014,6.684262010532995,0.18613933736627075,15.0
22.947772318502153,-7.201718696824718,1.2968270462481186,15.0
14.630057631679446,10.94577788523905,8.600302926189384,15.0
15.411278824447802,-4.026482856002421,-12.606184305282486,15.0
33.737490545245855,5.348153133255022,-35.82018606754585,15.0
24.84311491479896,10.91127157518602,-11.389372677954706,15.0
27.96606388738788,25.510951588860895,-1.8353304071275378,15.0
23.847867041328165,30.21829201069053,-23.11916957774294,15.0
31.6713277987334,18.74135387866883,-44.08601044050947,15.0
42.31346854062535,42.09897704366772,-52.06667246231604,15.0
55.602233342852436,33.83212349431257,-43.2413494283859,15.0
66.90133116556218,27.09449840263285,-44.81508357467146,15.0
45.14246057052259,42.328448064810544,-55.66093346796881,15.0
55.18136964253739,24.254620486377455,-77.2515208064497,15.0
58.60292990826959,40.232379571189256,-102.13784116522721,15.0
68.1482299677615,40.49237288219651,-81.72353433313671,15.0
81.65759464913803,46.52967862997044,-83.7796207221486,15.0
74.58062625190513,70.91361159690709,-100.58553011241715,15.0
83.75703222995382,60.23823278796399,-91.6178520855403,15.0
102.69411489393207,79.5492314828208,-87.94708973345047,15.0
104.55980712956259,59.43647146882908,-62.12713035117771,15.0
108.88726465559762,62.088498014232094,-81.66059216045448,15.0
76.19277302139749,70.91376952453038,-68.16338986742825,15.0
88.24619187921546,69.78210010584326,-76.59953728702773,15.0
106.74776531742503,74.55929229137757,-81.06640430416998,15.0
93.31217507285018,60.30790612672591,-54.998035713093365,15.0
97.89412575263508,67.31310759192077,-67.8276093491479,15.0
98.81874303865888,69.15087487189612,-82.07121706236155,15.0
95.20596167558286,51.73620193903509,-80.69813983208665,15.0
107.40477102902494,53.39653058800153,-83.1031918377569,15.0
113.78855504605536,36.656281285755725,-57.75185335288472,15.0
103.48392226802426,26.796556494304596,-64.62778316528816,15.0
83.75739154749128,42.325051703986645,-45.799214073966404,15.0
96.63043692956678,24.506202783030155,-39.851476250259076,15.0
115.73963894901175,52.13652134231407,-50.87655322343423,15.0
125.26096742764018,47.3747134312868,-11.460424652553515,15.0
114.87082064425555,50.69956377199876,0.8275682550403847,15.0
106.87931189873757,47.50221647057066,-7.236488185897623,15.0
118.42733718678777,48.34207488823728,-5.100756936566798,15.0
120.65556267361957,68.3383516766342,-16.293972516870806,15.0
128.11270970695233,65.47741853138335,-9.024938101010346,15.0
131.52862226817658,55.206318585048315,-37.42647292819107,15.0
111.19602148366451,60.33903201172808,-21.97047011155972,15.0
122.42262689278478,45.4580868053226,-15.074552696936887,15.0
129.6964999892782,46.92545460830294,-31.644661386095237,15.0
119.02874859237423,29.16914535312537,-1.6039696382969915,15.0
127.8417462901378,40.481986334187766,-9.044816214126326,15.0
106.51657762331152,51.24786927112923,-9.474268525016985,15.0
113.60455200438194,35.471950028210216,-1.1664703096327056,15.0
107.24010533482723,50.584813931739724,10.820983720133128,15.0
100.99939587312733,34.19931673095759,9.082020215455094,15.0
89.47359989775052,20.139912669765728,-3.7024013272546057,15.0
64.00446521585374,33.10573231656317,-14.193016476425504,15.0
69.90176592062076,15.888360099830166,-6.7048948008732685,15.0
81.37738483868108,31.84800750260679,-33.42433017804719,15.0
79.65193961820891,11.238433622430835,0.09496595493675564,15.0
90.08198334957846,18.74625397742926,-8.069618185909563,15.0
77.4946286906002,17.65544884345529,-10.134111649604293,15.0
77.70444610811877,7.89058009876814,-3.3248685717030995,15.0
92.1973386311415,32.02165284059694,4.5353572635957216,15.0
81.34170777965741,9.694960312365895,23.29594946564868,15.0
80.88485281958317,-5.797215432525558,23.724001127950036,15.0
59.29250584294586,-6.0616299204201125,28.07842757159672,15.0
65.45537743433196,-8.884544165664957,12.017193680821165,15.0
80.13983410050466,4.001621851611613,14.506260607782465,15.0
80.34809104593234,-16.118764902304488,49.238589577544325,15.0
90.24461788155492,-15.221249137621221,39.8045330678158,15.0
81.81410020431679,-18.46935122303633,31.049743745128854,15.0
91.84549627882686,-15.781055407754586,19.95617090011678,15.0
86.8016212990965,-0.7308326187698455,11.121640430252071,15.0
77.38920985378388,-5.32067042609413,19.011045421255975,15.0
69.49215892184273,-7.387603801266465,10.425134367383766,15.0
46.84103974295243,2.247875424733704,0.4299831603240669,15.0
38.86317340339307,-13.191038015080691,-10.821525274234574,15.0
46.009756862812345,5.51760289100247,-36.7553820301524,15.0
45.80345668832944,-11.71075402046763,2.394468571073336,15.0
45.04745979033587,-16.367235971700246,15.699387161867895,15.0
26.820119773695055,-2.8936033483190116,-5.011936755470576,15.0
43.441637552777316,-8.845951210849059,0.032051709058139366,15.0
43.14235691228931,-7.125166509245004,9.154334046592384,15.0
43.85200802489017,-16.46886511224944,7.086398468079262,15.0
57.23531442490911,-37.81640368856301,-9.938381969625098,15.0
46.28143882134012,-16.51176581067978,-12.639299566486388,15.0
58.62169280633858,-21.492221207045695,-10.488608703043791,15.0
78.53529326721934,1.7512759406993554,-13.559236913949622,15.0
77.96904650174332,-9.135867668001499,0.944703025133359,15.0
78.00638673677692,-0.5672681180806891,15.542165582719083,15.0
56.8093513798656,5.082067088826253,0.224447168013568,15.0
